Word,Usage
"""people""",55
"""thank""",52
"""trump""",44
"""news""",39
"""states""",36
"""today""",29
"""win""",28
"""election""",26
"""president""",23
"""vote""",23
"""country""",23
"""jobs""",20
"""america""",17
"""bad""",17
"""fake""",15
"""media""",15
